expte_code,fecha,gestion,se_giro_a,dependencia_actual
4016,2025-09-05,"RESO 2027/2025 -Aprobar el modelo de Acuerdo Administrativo que como anexo forma parte de la presente, entre el Tribunal y la Universidad de Buenos Aires y autorizar al Secretario General de Administración(...)",DIRECCION DE RELACIONES INSTITUCIONALES DE LA CSJN,DIRECCION DE DESPACHO - DIRECTOR GENERAL - CPN JOSE C. ABRANCHI
4016,2025-07-14,Se cargó la documental con el proyecto de Convenio entre la Morgue Judicial y la UBA,DIRECCION DE RELACIONES INSTITUCIONALES DE LA CSJN,DIRECCION DE RELACIONES INSTITUCIONALES DE LA CSJN
4016,,Se cargó la documental con el proyecto de Convenio entre la Morgue Judicial y la UBA,DIRECCION DE RELACIONES INSTITUCIONALES DE LA CSJN,DIRECCION DE RELACIONES INSTITUCIONALES DE LA CSJN
2306,2025-08-28,"Resolución n°1908/2025 - “RIAÑO ALEJANDRO OSVALDO”, por la suma total de pesos $ 169.930.000,00.",Subdirección de Contrataciones CSJN,Dpto. de Liquidaciones
2306,,"Pendiente - ALEJANDRO RIAÑO($169.930.000), IVA incluido",Subdirección de Contrataciones CSJN,Subdirección de Contrataciones CSJN
2306,2025-07-14,"Se elevó. Técnicamente admisible y conveniente en términos económicos ALEJANDRO RIAÑO($169.930.000), IVA incluido",Subdirección de Contrataciones CSJN,Subdirección de Contrataciones CSJN
3993,2025-08-06,"Presta conformidad a la continuidad por 4 meses - mismo proveedor : Aclima de Escofe Víctor Daniel al vto OC actual N° 120/2025 31/8/25 , mensual: $1.950.000",SUBDIRECCIÓN DE CONTRATACIONES,SUBDIRECCIÓN DE CONTRATACIONES
3993,2025-07-14,Pendiente revisar,En esta Dirección,En esta Dirección
3973,2025-08-04,"“Aclima de Escofe Victor Daniel” prórroga del servicio de mantenimiento del sistema de aire acondicionado del Cuerpo Médico Forense, por el término de 1 mes $1.240.000, al Vto OC 377/2024. hasta 30/9/2025",SUBDIRECCIÓN DE CONTRATACIONES,SUBDIRECCIÓN DE CONTRATACIONES
3973,2025-07-15,Pendiente revisar,En esta Dirección,En esta Dirección
3811,2025-08-04,Se toma conocimiento se presta conformidad a la continuidad del trámite-,SUBDIRECCIÓN DE CONTRATACIONES,DIRECCIÓN DE ADMINISTRACIÓN
3811,,Pendiente revisar,En esta Dirección,En esta Dirección
4095,2025-08-04,"Presta conformidad a la continuidad del oferente: Teknik SRL por el plazo de 1 (un) mes, con vencimiento el 30 /9/2025 - Nuevo valor $1.709.880 al vto OC N° 141/2025",Subdirección de Contrataciones CSJN,SUBDIRECCIÓN DE CONTRATACIONES
4095,2025-07-28,Pendiente revisar,En esta Dirección,En esta Dirección
3810,1970-01-01,"Se presta conformidad a la continuidad del trámite (...) conforme las especificaciones técnicas incorporadas por la DAJUDECO, los trabajos a realizar podrían considerarse reparaciones menores.(..)",Subdirección de Contrataciones,Subdireccion de compras
3810,,Pendiente revisar,En esta Dirección,En esta Dirección
4096,2025-08-14,"Con Reso 1782/2025 Asc. Telesi SRL ($1.095.000) por el plazo de 1 (un) mes, en los mismos términos y condiciones N° 142/2025.",Dirección de Administración,DIRECCIÓN DE ADMINISTRACIÓN
4096,2025-08-04,"Se presta conformidad_ Asc. Telesi SRL manifiesta su conformidad respecto de la continuidad del servicio de mantenimiento, por el plazo de 1 (un) mes, en los mismos términos y condiciones N° 142/2025.",Dirección de Administración,DIRECCIÓN DE ADMINISTRACIÓN
4096,2025-07-28,Pendiente revisar,En esta Dirección,En esta Dirección
4357,2025-09-24,Tiene RESO 2189/2025 por el término de un (1) mes y adjudicar la misma a la firma “GRUPO EFIA Corte Suprema de Justicia de la Nación S.R.L.total de pesos un millón trescientos cincuenta y tres mil setecientos noventa ($ 1.353.790),Subdirección de Contrataciones,SUBDIRECCIÓN DE CONTRATACIONES CSJN
4357,2025-09-15,Se solicitó la continuidad por el término de 1 mes con idéntifico proveedor,Subdirección de Contrataciones,SUBDIRECCIÓN DE CONTRATACIONES CSJN
4357,2025-07-29,Pendiente revisar,En esta Dirección,En esta Dirección
4239,2025-08-11,RESO N° 1731/2025 PROVEEDOR: ACLIMA ESCOFE 3 MESES- mensual $1.200.000 y total $3.600.000,Subdirección de Compras,Dirección de ADMINISTRACIÓN
4239,2025-08-04,Se toma conocimiento. Se presta conformidad a la continuidad del trámite con idéntico proveedor ACLIMA ESCOFE 3 MESES- mensual $1.200.000,Subdirección de Compras,Dirección de ADMINISTRACIÓN
4239,2025-07-31,Pendiente revisar,En esta Dirección,En esta Dirección
4356,2025-08-22,"RESOLUCIÓN 1858/2025 continuidad por el término de 1 MES (septiembre) $178.000.000 ""LAREDO Y ASOCIADOS"".",Subdirección de Contrataciones,DIRECCIÓN DE ADMINISTRACIÓN
4356,2025-08-14,"Toma conocmiemiento, presta conformidad a la continuidad por el término de 1 (septiembre) nuevo valor $178.000.000 ""LAREDO"".",Subdirección de Contrataciones,DIRECCIÓN DE ADMINISTRACIÓN
4356,2025-08-14,"Pendiente prestar conformidad , nuevo valor $178.000.000",Subdirección de Contrataciones,EN ESTA DIRECCIÓN
4356,2025-08-07,Solicita continuidad por el término de 1 mes al vto de la oc actual 31/8,Subdirección de Contrataciones,SUBDIRECCIÓN DE CONTRATACIONES
4356,2025-08-05,Escrito borrador pendiente definir PLAZO DE PEDIDO DE CONTINUIDAD-,En esta Dirección,En esta Dirección
4356,2025-08-04,Pendiente revisar,En esta Dirección,En esta Dirección
3218,2025-07-25,Se elevó el expediente. Nota de elevación: $52.355.124 propuesta de menor valor económico y técnicamente admisible : PROVESER S.R.L.,Dirección de Administración,Dirección de Administración
3218,2025-05-07,Pendiente revisar,En esta Dirección,En esta Dirección
1027,2025-08-18,Se toma conocimiento y se presta conformidad a la continuidad del trámite-,Dirección de Administración,DIRECCIÓN DE ADMINISTRACIÓN
1027,2025-05-07,Pendiente revisar,En esta Dirección,En esta Dirección
1033,2025-08-18,"RESO 1862/2025 . “GRUPO EFIA S.R.L.” el renglón 1 (ítems 1 y 2) por suma total 2.999.760.a razón de pesos mensuales $ 119.990, los primeros doce (12) meses, y pesos mensuales $129.990. los restantes doce (12) meses",Dirección de Administración,DIRECCIÓN DE ADMINISTRACIÓN
1033,2025-08-18,Toma conocimiento presta conformidad-,Dirección de Administración,DIRECCIÓN DE ADMINISTRACIÓN
1033,2025-08-11,Pendiente revisar,En esta Dirección,En esta Dirección
4270,2025-08-18,"Toma conocimiento, presta conformidad a la continuidad del trámite- Ampliación OC 248 Y 249 /2025 - Elementos de Protección Personal (EPP) DAJUDECO",Dirección de Administración,Dirección de Gestión
4270,2025-08-13,en revisión,-,Dirección de Gestión
4641,2025-08-18,"Resolución 1809/2025 .Partida especial - Subdirección de Seguridad $948.309,79",Dirección de Administración,Dirección de Gestión
4641,2025-08-14,"Toma conocimiento y se presta conformidad a la continuidad del trámite. Partida especial $948.309,79",Dirección de Administración,Dirección de Gestión
4128,2025-11-11,"RESOLUCIÓN 2725/2025 servicio de mantenimiento preventivo y correctivo de tres (3) grupos electrógenos de emergencia : Palacio de Justicia, Cuerpo Médico Forense, y en la Oficina de Violencia Doméstica, (12) meses; junto con trabajos adicionales, y adjudicar a la firma “T.C.L. S.A.” ($ 43.960.805,84.-)",Subdirección de Compras,SUBDIRECCIÓN DE CONTRATACIONES
4128,2025-09-30,Se giró a compras con mejora en la oferta por parte de Alto Energy,Subdirección de Compras,SUBDIRECCIÓN DE CONTRATACIONES
4128,2025-09-11,"Se elevó con documental e informe de presupuesto del respuesto necesario incluido en el PET, el cual eleva el monto de la contratación.",correo electrónico Rolando Reta,SUBDIRECCIÓN DE CONTRATACIONES
4128,2025-08-18,"Evaluación de ofertaS- En principio 1 sola oferta (BRUQUETAS) Pendiente completar antecedentes, esperar al Vto del plazo para presentar la documental, verificar deudas; Vencido el plazo, enviar correo para completar todo.",correo electrónico Rolando Reta,correo electrónico Rolando Reta
4128,2025-08-18,Evaluación de ofertas,correo electrónico Rolando Reta,correo electrónico Rolando Reta
4129,2025-09-22,Se presta conformidad al presupuesto de Fernández Rimbau porque es el único que cotiza el tanque de 500 litros.,Subdirección de contrataciones,SUBDIRECCIÓN DE CONTRATACIONES CSJN
4129,2025-09-15,Se elevó con documental - BRUQUETAS Sebastián S y M GRUPOS ELESCTRÓGENOS” y “FERNÁNDEZ Y RIMBAU María Eugenia son técnicamente admisibles y acorde a los valores del mercado,Dirección de Administración,SUBDIRECCIÓN DE CONTRATACIONES CSJN
4129,1970-01-01,"Evaluación de ofertas- En principio 1 sola oferta (BRUQUETAS) Pendiente completar antecedentes, esperar al Vto del plazo para presentar la documental, verificar deudas; Vencido el plazo, enviar correo para completar todo.",correo electrónico Rolando Reta,correo electrónico Rolando Reta
4129,2025-08-18,Evaluación de ofertas,correo electrónico Rolando Reta,correo electrónico Rolando Reta
EXP. SN Pintura LP,2025-09-29,Queda sin efecto por el momento,correo electrónico Delfina A.,correo electrónico Delfina A.
EXP. SN Pintura LP,2025-08-19,Revisar P.E.T,correo electrónico Delfina A.,correo electrónico Delfina A.
4889,2025-08-27,"RESO 1895/2025. Ciudad Tanque SRL es la más conveniente para los renglones 1, 3, 4, 6 y 7 ($ 8.080.000,00), y PLM Group Servicios Empresariales SRL ($ 5.551.845) para los renglones 2 y 5.",No está en esta Dirección,Subdirección de Contrataciones CSJN
4889,2025-08-25,"Se presta conformidad a: la oferta Ciudad Tanque SRL es la más conveniente para los renglones 1, 3, 4, 6 y 7, y a la propuesta de PLM Group Servicios Empresariales SRL , por ser la más conveniente para los renglones 2 y 5.",PENDIENTE CONFORMIDAD,Departamento Operativo
4889,2025-08-20,Giro a D.A. con nota de elevación,Mesa Administrativa CSJN,Departamento Operativo
4889,2025-08-20,"Se elevó el expediente- Ofertas: “CIUDAD TANQUE S.R.L($ 17.660.000,00)",Mesa Administrativa CSJN,Departamento Operativo
4889,2025-08-20,"Pendiente elevar expediente - Solicitud N° 19690 - Ofertas: “CIUDAD TANQUE S.R.L”, por la suma de pesos diecisiete millones seiscientos sesenta mil ($ 17.660.000,00) y ""PLM GROUP"" por la suma de pesos diecinueve millones ochocientos veintiocho mil veinte ($ 19.828.020,00).",Mesa Administrativa CSJN,Departamento Operativo
4889,2025-08-20,Pendiente elevar expediente,Mesa Administrativa CSJN,Departamento Operativo
EXP. SN Solados,2025-08-25,Compartimos con Delfina el PET on-line,Correo electrónido Delfina A.,Correo electrónido Delfina A.
EXP. SN Solados,2025-08-21,En revisión,Correo electrónido Delfina A.,Correo electrónido Delfina A.
EXP. SN Solados,,Revisar P.E.T,Correo electrónido Delfina A.,Correo electrónido Delfina A.
4537,2025-09-02,"Se tomó conocimiento y prestó conformidad 2/9 - provisión y colocación de alfombra modular, con zócalos de EPS",Dirección de Administración,Asuntos Jurídicos
4537,2025-08-21,Revisar,En esta Dirección,En esta Dirección
4623,2025-08-28,"Nos comparten las actuaciones 10 y 12 donde indican que los trabajos se realizarán en el 2° piso Dpto. de Infra STC, Dpto de distribución y oficinas SSIE",Dirección de Administración,Dirección de Administración
4623,,"Se presta conformidad a la continuidad del trámite- Ampliación de OC 66/2025 $29.895.500, no obstante se sugiere que aclaren la uibicación de la provisión de las carpinterías.",Dirección de Administración,Dirección de Administración
4623,,Revisar,En esta Dirección,En esta Dirección
4988,2025-08-25,Se presto conformidad,Dirección de Administración,Dirección de Administración
5027,2025-09-10,"2066/2025 Tiene Reso. “PROPARQ S.A.S.”, $ 126.000.000,00.",Dirección de Administración,Dirección de Administración
5027,2025-08-28,Se elevó con nota y documental,Dirección de Administración,Dirección de Administración
5027,,Revisar documental,Dirección de Administración,Dirección de Administración
5074,2025-09-29,RESO 2245/2025 JM SERVICIOS LOGÍSTICOS S.R.L $90.028.020.,No está en esta Dirección,SUBDIRECCIÓN DE CONTRATACIONES CSJN
5074,2025-09-15,"Se elevó con documental el 15/9 , la propuesta de JM SERVICIOS LOGÍSTICOS S.R.L resulta la más conveniente .",No está en esta Dirección,SUBDIRECCIÓN DE CONTRATACIONES CSJN
5074,2025-08-28,Revisión PET,No está en esta Dirección,Subdirección de Infraestrcutura CSJN
4998,2025-08-28,"Con Reso 1898/2025 - Continuidad por 1 mes Bruquetas $ 260.800, mensual: por edificio: $ 130.400.",No está en esta Dirección,Subdirección de Infraestrcutura CSJN
4998,2025-08-21,Se prestó conformidad,No está en esta Dirección,Subdirección de Infraestrcutura CSJN
4535,2025-11-19,Se gira a Infraestrcutura CSJN,Subdirección de Contrataciones,Subdirección de Infraestructura
4535,2025-11-18,PENDIENTE VER - Se gira a Infraestrcutura CSJN,Subdirección de Contrataciones,SUBDIRECCIÓN DE CONTRATACIONES
4535,2025-11-10,PENDIENTE VER,Subdirección de Contrataciones,SUBDIRECCIÓN DE CONTRATACIONES
4535,2025-10-23,Se dió respuesta con la sugerencia de incluir la cláusula de rescisión anticipada.,Subdirección de Contrataciones,SUBDIRECCIÓN DE CONTRATACIONES
4535,,Pendiente ver,En esta Dirección,En esta Dirección
7552,2025-12-23,"Mediante ESC 2729/2025 - Mediante reso 3400/2025 :Designar a la Arquitecta Delfina Apaolaza como Inspector de Obra de los trabajos de “Restauración de fachadas de patios interiores 3 y 4 y obras complementarias del Palacio de Justicia (Etapa VI), Talcahuano 550, C.A.B.A.”; en el marco de lo establecido por el artículo 37º de las Cláusulas Especiales del Pliego de Bases y Condiciones y de acuerdo a lo establecido por el artículo 28º de la ley 13.064.",No está en esta Dirección,SUBDIRECCIÓN DE INFRAESTRUCTURA
7552,2025-09-01,"Revisión de contrato, y justificación de contratación del Inspector de Obra. Devolvemos el último CUERPO A INFRA 1/9/2025",En esta Dirección,SUBDIRECCIÓN DE INFRAESTRUCTURA
7552,2025-09-01,"Revisión de contrato, y justificación de contratación del Inspector de Obra.",En esta Dirección,En esta Dirección
7552,2025-09-01,Pendiente ver,En esta Dirección,En esta Dirección
5739,2025-10-01,Se corrigió nota de elevación - Se eleva con documental Teknik $175.226.100-,Infraestrcutura,Subdirección de Infraestrcutura CSJN
5739,2025-09-24,Pendiente revisar documental subida al sistema,Infraestrcutura,Subdirección de Infraestrcutura CSJN
5739,2025-09-08,Se compartió con Natalio -PET,SE GIRÓ A,Correo electrónico Natalio
5739,2025-09-04,En revisión,Correo electrónico Natalio,Correo electrónico Natalio
5739,,Pendiente ver,Correo electrónico Natalio,Correo electrónico Natalio
sn simil piedra ARGIBAY,,Pendiente ver,Correo electrónico Delfina,Correo electrónico Delfina
4,1970-01-01,Compartido P.E.T con Delfi/Fede,Correo electrónico Delfina,Correo electrónico Delfina
4,1970-01-01,En revisión PET,Correo electrónico Delfina,Correo electrónico Delfina
4,,Pendiente ver,Correo electrónico Delfina,Correo electrónico Delfina
5225,2025-10-08,"ESC 3180/2025 volvió a nuestra bandeja sin actuaciones $ 37.970.650,80) . S.R ""mantenerlo en esta Dirección )",Dirección de Administración,Dirección de Administración
5225,2025-09-30,"ESC 3180/2025 se gira a la DA con la documentación y la solicitud de pago del 10% en concepto de anticipo ( $ 37.970.650,80)",Subdirección de Infraestructura,Dirección de Administración
5225,2025-09-29,ESC 3180/2025 -EMPRESA DECONSTRUCCION PRESENTA POLIZA DE CAUCION FINANCIERO N°001854216 (Respuesta en elaboración AV),Subdirección de Infraestructura,Subdirección de Infraestructura
5225,2025-09-30,"RESO 2251/2025 . Designar al Arquitecto Gustavo Vicente AGUILERA como Supervisor de Obra y al Arquitecto Marcos José CÓRDOBA como Inspector de Obra de los trabajos de Refuerzo estructural parcial de azotea 7° piso y ejecución de módulos para funciones operativas, sobre azotea 7° y 8° piso del Palacio de Justicia de la Nación, Talcahuano 550, C.A.B.A.-",Subdirección de Infraestructura,Subdirección de Infraestructura
5225,2025-09-05,"El cuerpo XI (último) lo tiene Infra, agregado a la totalidad de los expedientes.",Subdirección de Infraestructura,Subdirección de Infraestructura
5225,,Tenemos el último - cuerpo XI,En esta Dirección,En esta Dirección
5225,2025-03-14,"Nueva fecha de apertura 10/04/2025 ($421.517.454) , por falta de firma en partida presupuestaria.",Subdirección de contrataciones,MESA DIRECCIÓN
5225,2025-02-25,Esc. 290/25 - se responde fundamentando que no hay nada por modificar del pliego de bases y condiciones,Subdirección de contrataciones,MESA DIRECCIÓN
5225,2025-02-20,Esc. 290/25 - Solicita se informe si correponde modificar PET - LP N° 448/2024 fecha de apertura 17/03/2025 -11:00hs.,No está en esta Dirección,SUBDIR. DE COMPRAS- APERTURAS Y NOTIFICACIONES
5225,,RESOLUCION OK AL LLAMADO 3396/2024 $421.517.454,No está en esta Dirección,SUBDIR. DE COMPRAS- APERTURAS Y NOTIFICACIONES
5196,2025-09-22,"RESO 2140/2025 por la suma total de pesos quinientos setenta millones ($ 570.000.000.-), a razón de pesos mensuales ciento noventa millones ($ 190.000.000.-LAREDO Y ASOCIADOS S.R.L",Subdirección de Contrataciones CSJN,Subdirección de Contrataciones CSJN
5196,2025-08-15,Toma conocimiento presta conformidad al nuevo valor propuesto $190.000.000 mensual por el término de 3 meses,Subdirección de Contrataciones CSJN,Subdirección de Contrataciones CSJN
5196,2025-08-12,Ver nuevo valor,Subdirección de Contrataciones CSJN,En esta Dirección
5196,2025-09-08,Se solicita la continuidad con idéntico prestador por el término de 3 meses o hasta la efectiva adjudicación del servicio.,Subdirección de Contrataciones CSJN,SUBDIRECCIÓN DE CONTRATACIONES
5196,2025-09-03,Pendiente ver -,En esta Dirección,En esta Dirección
2730,2025-09-05,-AGREGADO AL EXPEDIENTE PRINCIPAL 5225/2023 - No está en esta Dirección,Subdirección de Infraestructura,SUBDIRECCIÓN DE INFRAESTRCUTURA
2730,2025-09-03,Pendiente ver -AGREGADO AL EXPEDIENTE PRINCIPAL 5225/2023,En esta Dirección,En esta Dirección
2730,2025-09-03,Pendiente ver -,En esta Dirección,En esta Dirección
6220,2025-10-27,"Resolución 2490/2025 “PROPARQ S.A.S.”, por la suma total de pesos setenta y ocho millones novecientos cincuenta y nueve mil doscientos ($ 78.959.200,00.-)",Subdirección de Contrataciones,Subdirección de Contrataciones
6220,2025-10-13,"Se elevó con documental - Proparq SAS 78.959.200,00",Subdirección de Contrataciones,Subdirección de Contrataciones
6220,2025-10-08,Documental en análisis - (Delfina en Disco Z),Correo electrónico Fede Lobos,Subdirección de Infraestructura
6220,2025-09-18,Se enviará correo a los oferentes corrigiendo el Anexo P.E.T.,Correo electrónico Fede Lobos,Correo electrónico Fede Lobos
6220,2025-09-10,compartido con Delfi/Fede,Correo electrónico Fede Lobos,Correo electrónico Fede Lobos
6220,2025-09-09,PET en revisión aún no compartido con Delfi/Fede,Correo electrónico Fede Lobos,Correo electrónico Fede Lobos
6220,2025-09-05,Pendiente ver -,Correo electrónico Fede Lobos,Correo electrónico Fede Lobos
sn Consolidación de Ornamentos,2025-09-08,Pendiente ver -,Correo electrónico Delfi,Correo electrónico Delfi
4408,2025-09-08,"Tiene Reso 2038/2025 adjudicar a la firma “HIT CONSTRUCCIONES S.A.”, por la suma total de pesos ciento setenta y siete millones ochocientos ochenta y un mil quinientos ($ 177.881.500,00.-)",Dirección de Adminisitración,Dirección de Administración
4408,2025-08-27,Se elevó con documental,Dirección de Adminisitración,Dirección de Administración
4408,2025-08-27,Pendiente ver -,Dirección de Adminisitración,Dirección de Administración
5112,2025-09-08,Se elevó con documental,Dirección de Adminisitración,Dirección de Administración
5113,2025-09-11,"Tiene Resolución 2072/2025 $794.000 imágenes de representación tridimensional del Palacio de Justicia, necesaria para la correcta instalación de los puestos de control en los accesos.",Dirección de Adminisitración,Dirección de Administración
5113,2025-09-08,Se elevó con documental,Dirección de Adminisitración,Dirección de Administración
SN,2025-08-29,Versión final con cambios resueltos para cotización- Aislación hidrófuga,Correo electrónico Iván,Correo electrónico Iván
SN,2025-09-09,PET compartido con Iván Pereyra 9/9 - Evaluando la modificación del título/objeto previo a elevar,Correo electrónico Iván,Correo electrónico Iván
SN,,Pendiente revisión PET,Correo electrónico Iván,Correo electrónico Iván
SN,,Pendiente revisión PET,Correo electrónico Iván,Correo electrónico Iván
5172,2025-09-26,"RESO 2239/2025 “FACOEL ARGENTINA S.R.L.” por la suma total de pesos $ 50.118.664,42.",Dajudeco,Dirección de Administración
5172,2025-09-15,"Toma conocimiento presta conformidad a la continuidad del trámite $50.118.664,42",Dajudeco,Dirección de Administraci+on
5172,2025-09-12,Toma conocimiento presta conformidad a la continuidad del trámite,Dajudeco,Dajudeco
5172,2025-09-08,Pendiente revisión PET,Dajudeco,Dajudeco
5173,2025-09-23,Tiene RESO 2159/2025,Dirección de Administración,DIRECCIÓN DE ADMINISTRACIÓN
5173,2025-09-09,Toma conocimiento - Se motiva la indamisibilidad administrativa de la propuesta en act 8,Dirección de Administración,DIRECCIÓN DE ADMINISTRACIÓN
5173,2025-09-08,Revisión de la documental por Cecilia U. / Aldana F,En esta Dirección,En esta Dirección
5173,2025-09-08,Pendiente revisión PET,Dajudeco,Dajudeco
5367,2025-09-12,Tiene RESO 2087/2025 Partida especial: contratación de 1 volquete 130k,Dajudeco,DIRECCION DE ADMINISTRACIÓN
5367,2025-09-09,Toma conocimiento presta conformidad a la continuidad del trámite 130k,Dajudeco,DIRECCION DE ADMINISTRACIÓN
5367,2025-09-09,Toma conocimiento presta conformidad a la continuidad del trámite,Dajudeco,Dajudeco
6400,2025-10-22,"Se elevó con documental y propuesta de Watertec ($9.922.000,00)",sUBDIRECCIÓN DE CONTRATACIONES,SUBDIRECCION DE CONTRATACIONES
6400,2025-09-11,El expte. está en Infra- PET EN REVISIÓN,Mesa de entradas,INFRAESTRUCTURA
6400,,No está recibido el expte.,Mesa de entradas,Mesa de entradas
SN,2025-09-11,"pet actualizado pendiente resolver cantidades Lts., listado de flota, y responder comentarios.",En esta Dirección,En esta Dirección
5481,2025-09-22,"RESO 2152/2025 .Por el término de un (1) mes y adjudicar la misma a la firma “ACLIMA de ESCOFE VICTOR DANIEL”, a partir del vencimiento de la orden de compra n° 149/2025 $1.200.000-",COMPRAS,SUBDIRECCIÓN DE CONTRATACIONES CSJN
5481,2025-09-17,Toma conocimiento. Presta conformidad a la continuidad del trámite 1 mes $1.200.000- ACLIMA ESCOFE al vto OC 149/2025,COMPRAS,SUBDIRECCIÓN DE CONTRATACIONES CSJN
5481,2025-09-16,Pendiente ver,En esta Dirección,En esta Dirección
5518,1970-01-01,Finalizó para esta Dirección,En esta Dirección,En esta Dirección
5518,,Pendiente ver,En esta Dirección,En esta Dirección
5484,2025-09-23,RESO 2163/2025 Presta conformidad a la continuidad del trámite 1 mes $4.913.732- TEKNIK SRL al vto OC 276/2025.,COMPRAS,SUBDIRECCIÓN DE CONTRATACIONES CSJN
5484,2025-09-16,Toma conocimiento. Presta conformidad a la continuidad del trámite 1 mes $4.913.732- TEKNIK SRL al vto OC 276/2025,COMPRAS,SUBDIRECCIÓN DE CONTRATACIONES CSJN
5484,2025-09-15,Pendiente ver,En esta Dirección,En esta Dirección
5472,2025-09-22,"TIENE RESO 2157/2025 por el término de un (1) mes, y adjudicar la ACLIMA ESCOFE VICTOR $1.950.000 al vto O.C N° 306/2025",COMPRAS,Subdirección de Contrataciones CSJN
5472,2025-09-17,Toma conocimiento presta conformidad - 1 mes - ACLIMA ESCOFE VICTOR $1.950.000 al vto O.C N° 306/2025,COMPRAS,Subdirección de Contrataciones CSJN
5472,2025-09-16,Pendiente ver,En esta Dirección,En esta Dirección
5479,2025-09-22,"por el término de un (1) mes y adjudicar la misma a la firma “TEKNIK S.R.L.”, a partir del vencimiento de la orden de compra n° 299/2025",Compras,Subdirección de Contrataciones
5479,2025-09-16,Se toma conocimiento y presta conformidad a la continuidad del trámite - 1 mes TEKNIK S.R.L - Al vto oc 299/2025 $1.709.880,Compras,Subdirección de Contrataciones
5479,2025-09-16,Pendiente ver -,en esta Dirección,en esta Dirección
5495,2025-09-25,"Tiene RESO 2227/2025 por el término de un (1) mes y adjudicar la misma a la firma “ASC TELESI S.R.L.”, a partir del vencimiento de la orden de compra n° 316/2025 -en los mismos términos y condiciones técnicas y económicas oportunamente pactados en la orden de compra mencionada-, por la suma total de pesos un millón noventa y cinco mil($ 1.095.000)",en esta Dirección,Subdirección de Contrataciones
5495,2025-09-22,Se toma conocimiento y presta conformidad -,en esta Dirección,Subdirección de Contrataciones
5495,2025-09-19,Pendiente ver -,en esta Dirección,en esta Dirección
5698,2025-11-03,Desde el 31/10 en la Dirección de Administración,Dirección de Administración,Dirección de Administración
5698,2025-10-29,Remisión del expediente con sugerencia de cláusula de seguro personal a cargo de la profesional.,Dirección de Administración,Dirección de Administración
5698,2025-10-14,Tomo conocimiento sugiere modificacion-,Dirección de Administración,Dirección de Administración
5698,2025-10-08,Acompañaron contrato para prestar su conformidad-,Dirección de Administración,En esta Dirección
5698,2025-09-26,Se efectuaron las aclaraciones -,Dirección de Administración,Dirección de Administración
5698,2025-09-24,"Pendiente responder pase - con documental con el título que detenta la persona propuesta, e indicar domicilio físico dentro de CABA y constancia de CUIT que acredite su condición frente al IVA.",Dirección de Administración,En esta Dirección
5698,2025-09-17,Se subió pedido,Dirección de Administración,Dirección de Administración
70652025,2025-11-25,"RESO 2997/2025 Contratación del servicio de mantenimiento integral, preventivo y correctivo de las electrobombas instaladas en edificios varios de la Corte Suprema de Justicia de la Nación por el término de doce (12) meses y adjudicar a “ACLIMA DE ESCOFE VICTOR DANIEL”, por la suma total de $ 16.920.000 y mensual de: $1.410.000.",operativo,Compras
70652025,2025-11-25,"Se elevó con documental : ACLIMA 16.920.000,00 ; TAMENA 85.680.000,00; ALL ENERGY 55.822.860,00 -",operativo,Compras
70652025,2025-11-20,"Pendiente elevar: ACLIMA 16.920.000,00 ; TAMENA 85.680.000,00; ALL ENERGY 55.822.860,00 -",operativo,OPERATIVO
70652025,2025-11-12,Documental en revisión,operativo,OPERATIVO
70652025,2025-09-22,PET en revisión con Vicky Riobo.,correo electrónico Vicky,correo electrónico Vicky
70652025,2025-08-20,PET en revisión,correo electrónico Vicky,correo electrónico Vicky
4837,2025-11-18,La subdirección de infraestructura informó que se tramitará por licitación pública,Dirección de Administración,Dirección de Administración
4837,2025-10-20,"La dirección de compras indicó ""establece que “Se presume que existe desdoblamiento cuando en un lapso de TRES (3) meses, contados a partir de la suscripción del acto administrativo de la convocatoria, se realicen otra o varias convocatorias para adquirir los mismos bienes o servicios, sin que previamente se documenten las razones que lo justifiquen.”",Dirección de Administración,Dirección de Administración
4837,2025-10-03,"Se giró con nota de elevación mejor oferta TEKNIK ($173.769.600),",Dirección de Administración,Dirección de Administración
4837,2025-09-23,"Se solicitó por elárea técnica las O.C de los oferentes Teknik y Termair conforme al Pto. 6 , PET- y extensión del mantenimiento de ofertas a : Teknik, Aclima y Termair. hasta el 31/10/2025.",Subdirección de Infraestructura,Subdirección de Infraestructura
4837,2025-09-22,"Faltan O.C de los oferentes Teknik y Termair conforme al Pto. 6 , PET- Pendiente pedir por el área técnica (22/9/2025)",Subdirección de Infraestructura,Subdirección de Infraestructura
4837,2025-09-22,Documental en revisión,Subdirección de Infraestructura,Subdirección de Infraestructura
4838,2025-10-06,Se remitieron los pedidos de cotización nuevamente por falta de cumplimiento de los requisitos del PET-,Subdirección de Infraestructura,Subdirección de Infraestructura
4838,2025-09-24,Ofertas que no cumplen PPET /Evaluando por área técnica,Subdirección de Infraestructura,Subdirección de Infraestructura
4838,2025-09-22,Documental en revisión,Subdirección de Infraestructura,Subdirección de Infraestructura
4839,2025-10-09,Se elevó con documental (Ascensores La Plata),Subdirección de Infraestructura,Subdirección de Infraestructura
4839,2025-10-08,"Natalio solicitó el mantenimiento de la oferta - y CV faltante (pendiente subir documental, correos y constancia Arca) FALTA NOTA DE ELEVACIÓN.",Subdirección de Infraestructura,Subdirección de Infraestructura
